"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000074695",0.295389812804258,-0.448455111819315,0.094,0.101,1
"ENSG00000234589",0.295840665094514,-0.238530058891516,0.06,0.053,1
"ENSG00000276141",0.298135334167577,0.17186178800093,0.014,0.017,1
"ENSG00000156273",0.298412010476055,-0.242668371382877,0.062,0.055,1
"ENSG00000150991",0.29901067487602,-0.242440552357585,0.265,0.249,1
"ENSG00000250687",0.299092542084001,-0.483232641953052,0.071,0.078,1
"ENSG00000213757",0.299438736967545,-0.143094008789712,0.15,0.139,1
"ENSG00000183530",0.300285471652697,-0.839900316134285,0.011,0.014,1
"ENSG00000182670",0.302108453558919,-0.200483192372565,0.114,0.122,1
"ENSG00000131558",0.302239954782936,-0.163502553805198,0.014,0.011,1
"ENSG00000073849",0.302250643043635,-0.117826123815251,0.158,0.147,1
"ENSG00000110315",0.302348034926469,-0.244875944217106,0.015,0.011,1
"ENSG00000166441",0.3025672180765,-0.255194866424104,0.259,0.238,1
"ENSG00000068878",0.30331969842739,-0.55727222306003,0.036,0.031,1
"ENSG00000100299",0.303358507036944,0.479176162380846,0.012,0.016,1
"ENSG00000107290",0.305059549539001,-0.272250003572626,0.114,0.122,1
"ENSG00000115760",0.305424951169038,-0.213209423561485,0.1,0.091,1
"ENSG00000125304",0.305517679923757,-0.420623733665521,0.059,0.065,1
"ENSG00000196233",0.305623011167,-0.435713331777342,0.15,0.137,1
"ENSG00000205871",0.305955622479851,-0.125270825310299,0.207,0.192,1
"ENSG00000168439",0.306551985196665,-1.09070123382516,0.037,0.042,1
"ENSG00000236976",0.309546550090378,-0.317077169080106,0.008,0.01,1
"ENSG00000111670",0.309620808773609,-1.22342779504115,0.018,0.022,1
"ENSG00000213064",0.310062114596607,-0.11391421922371,0.049,0.043,1
"ENSG00000065413",0.311386578085965,-0.261700828336355,0.167,0.153,1
"ENSG00000205730",0.311821588419975,-0.696588426274329,0.034,0.039,1
"ENSG00000003756",0.313533980699404,-0.263068049693939,0.102,0.093,1
"ENSG00000113580",0.31473183345355,-1.13644344364648,0.016,0.02,1
"ENSG00000091039",0.315524680848139,-0.294486464865531,0.023,0.027,1
"ENSG00000141562",0.316101872693685,0.962094754712709,0.011,0.008,1
"ENSG00000204652",0.316443677031421,-0.41768393294016,0.059,0.053,1
"ENSG00000137478",0.317769648569637,-0.285473823507783,0.051,0.045,1
"ENSG00000145431",0.320280242366988,0.122709038447499,0.01,0.013,1
"ENSG00000071246",0.320324372416742,0.173367732856761,0.025,0.021,1
"ENSG00000241612",0.321460184726209,-0.403876244484418,0.153,0.139,1
"ENSG00000123700",0.323361091651051,-0.528455302231483,0.205,0.206,1
"ENSG00000054611",0.324151337554393,-0.592760348921073,0.038,0.033,1
"ENSG00000069493",0.324156558267943,-0.387774570192802,0.056,0.05,1
"ENSG00000214182",0.325037314337534,-0.185204965078539,0.425,0.389,1
"ENSG00000166037",0.325602731438576,-0.171271871432559,0.01,0.008,1
"ENSG00000100813",0.326349705440268,-0.478514359953717,0.07,0.063,1
"ENSG00000115091",0.326759183099203,-0.210847340567927,0.067,0.061,1
"ENSG00000103769",0.326837828453817,-0.45418239667671,0.015,0.012,1
"ENSG00000075884",0.32721924502463,-0.774066801441129,0.022,0.026,1
"ENSG00000197183",0.327367004667672,-1.08009334627023,0.017,0.02,1
"ENSG00000162783",0.32795555159832,-0.29985160190075,0.032,0.028,1
"ENSG00000023902",0.328922089656703,-0.127337090943088,0.043,0.038,1
"ENSG00000143507",0.329509892743375,-0.90301203287702,0.026,0.03,1
"ENSG00000234118",0.329746076054369,-1.10347247250206,0.012,0.015,1
"ENSG00000166928",0.330546316724391,-0.869939493560415,0.007,0.01,1
"ENSG00000254012",0.330953360511767,-0.120040322020552,0.021,0.017,1
"ENSG00000101109",0.333416454746668,-0.110715659927073,0.113,0.104,1
"ENSG00000229638",0.333606700725667,-0.295012282118514,0.149,0.137,1
"ENSG00000169967",0.333647575749749,-0.828696322470447,0.082,0.088,1
"ENSG00000138035",0.335878167207317,-0.22066068182364,0.022,0.019,1
"ENSG00000272556",0.338239194747038,-0.661805133340605,0.021,0.025,1
"ENSG00000137776",0.33974186009776,-0.540252569959107,0.087,0.078,1
"ENSG00000136100",0.339844231825444,-0.416872466609434,0.02,0.017,1
"ENSG00000171608",0.34059379647908,-0.792775129026995,0.014,0.017,1
"ENSG00000152457",0.342711656933644,0.885242346060137,0.011,0.009,1
"ENSG00000104064",0.345966501198275,-1.08423278692641,0.016,0.019,1
"ENSG00000215105",0.34652605050263,-0.216169394128217,0.015,0.018,1
"ENSG00000115355",0.350488956167861,-0.158606570116226,0.166,0.172,1
