"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.74975404194824e-32,0.62791776156741,0.516,0.349,5.32589920723656e-28,"1","ENSG00000226564"
9.63011006191942e-32,0.637286087459354,0.477,0.312,1.07982424124302e-27,"1","ENSG00000219507"
1.2777972585363e-31,0.499316469717244,0.634,0.483,1.43279406599675e-27,"1","ENSG00000156508"
1.43744290738719e-31,0.769836006757238,0.369,0.219,1.61180473205326e-27,"1","ENSG00000279865"
2.58190082512579e-31,0.696244063768097,0.416,0.262,2.89508539521355e-27,"1","ENSG00000233476"
3.63452946050766e-31,0.658103334281753,0.449,0.287,4.07539788406724e-27,"1","ENSG00000232187"
2.11560217540673e-30,0.711372237503795,0.536,0.401,2.37222471928357e-26,"1","ENSG00000105372"
2.14890379328755e-30,0.665740601693358,0.442,0.283,2.40956582341332e-26,"1","ENSG00000230204"
2.60779877021931e-30,0.655701822087155,0.431,0.271,2.92412476104692e-26,"1","ENSG00000213453"
3.62877227266339e-29,0.627007029359384,0.697,0.588,4.06894234933746e-25,"1","ENSG00000164733"
1.15062984947745e-28,0.312785417869648,0.895,0.755,1.29020125021906e-24,"1","ENSG00000223551"
3.96664516574858e-28,0.565778284625838,0.498,0.342,4.44779922435389e-24,"1","ENSG00000234975"
6.9091072787814e-28,0.882111954395767,0.282,0.156,7.74718199169759e-24,"1","ENSG00000241429"
2.08325574351571e-27,0.487185829941852,0.649,0.519,2.33595466520417e-23,"1","ENSG00000133112"
1.07483907160884e-26,0.985479262118822,0.266,0.147,1.205217050995e-22,"1","ENSG00000236876"
3.22121880351312e-26,0.72443512422777,0.489,0.366,3.61195264437926e-22,"1","ENSG00000143933"
4.41023017841473e-26,0.508755030163645,0.645,0.519,4.94519109905644e-22,"1","ENSG00000125730"
1.16574001598356e-25,0.560009465870413,0.412,0.268,1.30714427992236e-21,"1","ENSG00000236439"
1.19066241363865e-25,0.569982982866552,0.401,0.259,1.33508976441302e-21,"1","ENSG00000227081"
5.23918327520505e-25,0.583770650873063,0.485,0.346,5.87469620648742e-21,"1","ENSG00000177954"
5.88366464329632e-25,0.752011977174895,0.441,0.312,6.59735316452816e-21,"1","ENSG00000164587"
1.25236881421624e-24,0.73214438074815,0.299,0.175,1.40428115138068e-20,"1","ENSG00000250182"
8.03675591106587e-24,0.820450962436087,0.283,0.165,9.01161440307816e-20,"1","ENSG00000249264"
2.24751481423277e-23,0.543587562432833,0.385,0.249,2.5201383611992e-19,"1","ENSG00000234287"
1.12021021412004e-22,0.412778997764525,0.572,0.447,1.25609171309281e-18,"1","ENSG00000142534"
1.34539754175091e-22,0.540599858620744,0.336,0.208,1.5085942635653e-18,"1","ENSG00000237729"
3.36719682874077e-22,0.819960270695159,0.253,0.145,3.77563780406703e-18,"1","ENSG00000243071"
4.47736428606851e-22,0.777353185756898,0.277,0.165,5.02046857396862e-18,"1","ENSG00000220793"
3.43009555211561e-21,0.734978274328663,0.295,0.182,3.84616614258723e-17,"1","ENSG00000242960"
6.84564413094188e-21,0.502385925562559,0.342,0.216,7.67602076402513e-17,"1","ENSG00000234268"
7.79303966358113e-21,0.525222136513517,0.32,0.201,8.73833537477352e-17,"1","ENSG00000232888"
2.40158027504728e-20,0.629898950915178,0.438,0.317,2.69289196241051e-16,"1","ENSG00000108518"
3.21975806322618e-20,0.444149891150022,0.513,0.39,3.61031471629552e-16,"1","ENSG00000130203"
4.49935323742071e-20,0.698723783986537,0.266,0.161,5.04512478511985e-16,"1","ENSG00000229605"
5.92669003211972e-20,0.510862974819926,0.487,0.366,6.64559753301584e-16,"1","ENSG00000140264"
7.22987294648674e-20,0.448288392921891,0.491,0.378,8.10685653489559e-16,"1","ENSG00000136156"
8.9555468515308e-20,0.723597282116113,0.266,0.16,1.00418546846215e-15,"1","ENSG00000219133"
1.05233744771088e-19,0.604242723728426,0.344,0.229,1.17998598011821e-15,"1","ENSG00000122026"
2.15272813686678e-19,0.459302312254227,0.441,0.31,2.41385405986872e-15,"1","ENSG00000163191"
2.33849971148888e-19,0.57631184229024,0.351,0.234,2.62215972649249e-15,"1","ENSG00000230979"
3.48931908411184e-19,0.735967760266224,0.275,0.17,3.91257348901461e-15,"1","ENSG00000198502"
4.34068207030857e-19,0.636504882665934,0.335,0.226,4.867206805437e-15,"1","ENSG00000140988"
4.8620668586613e-19,0.495286271936576,0.501,0.39,5.45183556861692e-15,"1","ENSG00000197746"
5.82807784211388e-19,0.657345357485105,0.289,0.183,6.53502368436229e-15,"1","ENSG00000213860"
9.04182391496233e-19,0.540680371756859,0.422,0.309,1.01385971558473e-14,"1","ENSG00000137154"
9.09679087582389e-19,0.61002902073968,0.294,0.187,1.02002316090613e-14,"1","ENSG00000189343"
1.18952577329119e-18,0.537342026586882,0.376,0.259,1.33381524959141e-14,"1","ENSG00000213442"
1.44313374268001e-18,0.577819921157953,0.273,0.168,1.6181858656671e-14,"1","ENSG00000235508"
1.5199075899807e-18,0.672193736907049,0.29,0.185,1.70427238064536e-14,"1","ENSG00000220749"
2.56047129306746e-18,0.699545598329973,0.282,0.178,2.87105646091654e-14,"1","ENSG00000204525"
7.86137558371727e-18,0.573275590195016,0.393,0.282,8.81496044202217e-14,"1","ENSG00000105640"
7.89113164612757e-18,0.568456399086896,0.37,0.258,8.84832591480284e-14,"1","ENSG00000220842"
1.46599344595673e-17,0.650817960193454,0.261,0.161,1.64381845095128e-13,"1","ENSG00000227376"
5.21345582884806e-17,0.540710278814505,0.258,0.16,5.84584802088733e-13,"1","ENSG00000216866"
6.88512706873476e-17,0.324806101811708,0.738,0.656,7.72029298217229e-13,"1","ENSG00000159189"
1.72555098497745e-16,0.393782113929157,0.42,0.297,1.93486031945522e-12,"1","ENSG00000185641"
7.02322708550095e-16,0.566806968668568,0.372,0.269,7.87514453097222e-12,"1","ENSG00000104904"
1.06190760255636e-15,0.386295583892164,0.557,0.455,1.19071699474645e-11,"1","ENSG00000187514"
1.15585738208237e-15,0.306360877546945,0.495,0.373,1.29606288252897e-11,"1","ENSG00000118181"
1.64267832973624e-15,0.655527883821349,0.298,0.203,1.84193521113325e-11,"1","ENSG00000232573"
2.00455282801628e-15,0.545209940530972,0.37,0.271,2.24770508605466e-11,"1","ENSG00000175899"
6.23508923579274e-15,0.510679478818696,0.313,0.219,6.9914055600944e-11,"1","ENSG00000139644"
1.4522414722163e-14,0.347888273805164,0.401,0.295,1.62839836279614e-10,"1","ENSG00000122406"
1.616396245094e-14,0.335875124235251,0.494,0.384,1.8124651096239e-10,"1","ENSG00000214182"
5.72113340683214e-14,0.419064792462075,0.423,0.323,6.41510688908088e-10,"1","ENSG00000034510"
6.95412093791907e-14,0.277110081017695,0.39,0.286,7.79765580768865e-10,"1","ENSG00000105697"
1.10993847988578e-13,0.513126067049827,0.348,0.255,1.24457401749593e-09,"1","ENSG00000124172"
1.18956032052235e-13,0.562589075598438,0.36,0.268,1.33385398740171e-09,"1","ENSG00000158869"
1.40625902128474e-13,0.775186044618424,0.294,0.21,1.57683824056658e-09,"1","ENSG00000092841"
1.5456061105546e-13,0.525036863748026,0.321,0.224,1.73308813176487e-09,"1","ENSG00000162747"
1.79100623462497e-13,0.366626015370417,0.292,0.203,2.00825529088498e-09,"1","ENSG00000178695"
2.18277002383891e-13,0.468687638007961,0.334,0.238,2.44754002773057e-09,"1","ENSG00000240036"
5.43909354059495e-13,0.898318747712062,0.261,0.185,6.09885558706912e-09,"1","ENSG00000132965"
6.12958585156092e-13,0.550184972265815,0.365,0.276,6.87310461535526e-09,"1","ENSG00000170458"
7.22534727615604e-13,0.695723419507147,0.3,0.219,8.10178190075376e-09,"1","ENSG00000155659"
2.19615037123455e-12,0.797852541655691,0.276,0.201,2.4625434112653e-08,"1","ENSG00000135404"
4.37314042565076e-12,0.658351834286154,0.32,0.24,4.9036023592822e-08,"1","ENSG00000100316"
7.81957269102156e-12,0.49273214936163,0.353,0.268,8.76808685844248e-08,"1","ENSG00000231389"
1.13731943597e-11,0.417737210173366,0.384,0.299,1.27527628355317e-07,"1","ENSG00000109475"
1.44669921631337e-11,0.364726583084779,0.304,0.214,1.62218383125218e-07,"1","ENSG00000232112"
2.2182495860881e-11,0.584071930406284,0.298,0.219,2.48732326088059e-07,"1","ENSG00000147403"
3.5876735666553e-11,0.416040765470004,0.452,0.367,4.02285837029059e-07,"1","ENSG00000203747"
4.65769225002574e-11,0.467986585527622,0.3,0.22,5.22267031995386e-07,"1","ENSG00000101439"
4.78109402872492e-11,0.291011591667693,0.46,0.364,5.36104073440925e-07,"1","ENSG00000197958"
1.05342698273258e-10,0.525361502340954,0.261,0.187,1.18120767573804e-06,"1","ENSG00000174748"
1.23007962627125e-10,0.476666782253907,0.311,0.236,1.37928828493795e-06,"1","ENSG00000102580"
1.7261210245575e-10,0.570835072266659,0.315,0.24,1.93549950483632e-06,"1","ENSG00000184009"
2.15771265423239e-10,0.404906553450695,0.357,0.273,2.41944319919078e-06,"1","ENSG00000172757"
2.43979246496264e-10,0.421958948430204,0.431,0.354,2.73573929096261e-06,"1","ENSG00000137818"
7.71212957082092e-10,0.554258108729391,0.28,0.211,8.6476108877615e-06,"1","ENSG00000108298"
8.43717240648429e-10,0.587180507186917,0.251,0.182,9.46060141939083e-06,"1","ENSG00000223865"
9.18897688954164e-10,0.470169925268483,0.306,0.232,1.0303599786243e-05,"1","ENSG00000143947"
1.11205565051287e-09,0.497663447989591,0.287,0.214,1.24694800092008e-05,"1","ENSG00000051523"
1.345501077821e-09,0.507127341498445,0.25,0.181,1.50871035856069e-05,"1","ENSG00000206503"
1.61418916875472e-09,0.350031680861426,0.335,0.262,1.80999031492466e-05,"1","ENSG00000143226"
1.90324199092528e-09,0.507150539658842,0.344,0.272,2.13410524442451e-05,"1","ENSG00000132475"
1.9728840692865e-09,0.492833401390512,0.302,0.231,2.21219490689095e-05,"1","ENSG00000136942"
2.07568968284795e-09,0.283688344637643,0.349,0.266,2.32747084137741e-05,"1","ENSG00000092964"
2.87600697870658e-09,0.497653248967357,0.394,0.323,3.22486662522369e-05,"1","ENSG00000173812"
4.00040080974425e-09,0.304738763588897,0.448,0.371,4.48564942796622e-05,"1","ENSG00000162511"
4.06803433721404e-09,0.449727699411845,0.357,0.288,4.56148690231811e-05,"1","ENSG00000204592"
4.34923942216342e-09,0.320708964596695,0.347,0.271,4.87680216407184e-05,"1","ENSG00000142541"
5.11665095570395e-09,0.501940108457419,0.292,0.226,5.73730071663084e-05,"1","ENSG00000198668"
5.14847995390273e-09,0.37949296847518,0.423,0.352,5.77299057231113e-05,"1","ENSG00000167601"
6.61639447052312e-09,0.360837991966424,0.285,0.213,7.41896311979758e-05,"1","ENSG00000180211"
9.08602087798658e-09,0.356719179526635,0.305,0.233,0.000101881552104863,"1","ENSG00000166441"
1.15804818418379e-08,0.343945443220802,0.327,0.254,0.000129851942892528,"1","ENSG00000215030"
2.03032116229707e-08,0.509233275809652,0.284,0.218,0.00022765991192837,"1","ENSG00000011600"
2.74348569598266e-08,0.455836505878531,0.28,0.213,0.000307627051090536,"1","ENSG00000234004"
4.01037634247862e-08,0.310571628608469,0.316,0.246,0.000449683499282127,"1","ENSG00000231500"
4.50031542659477e-08,0.258061386192554,0.466,0.394,0.000504620368784071,"1","ENSG00000070831"
6.85664813700243e-08,0.441396072049543,0.3,0.238,0.000768835955602082,"1","ENSG00000221983"
9.44906859334941e-08,0.262323849664039,0.252,0.187,0.00105952406137227,"1","ENSG00000265808"
9.78431731030958e-08,0.707195543902369,0.268,0.213,0.00109711550000501,"1","ENSG00000111348"
1.26595864502661e-07,0.325435683437594,0.397,0.331,0.00141951942866834,"1","ENSG00000122862"
1.41629827011814e-07,0.299947417648803,0.393,0.321,0.00158809525028347,"1","ENSG00000142937"
1.5157054128254e-07,0.442353772134748,0.258,0.198,0.00169956047940113,"1","ENSG00000197756"
2.02278699213322e-07,0.377197688388693,0.347,0.287,0.00226815105427897,"1","ENSG00000167526"
1.06604475351536e-06,0.281352032875321,0.256,0.196,0.0119535598211677,"1","ENSG00000213741"
1.18150712042149e-06,0.336570097501065,0.298,0.236,0.0132482393412862,"1","ENSG00000163682"
1.30494468935362e-06,0.391635775449526,0.263,0.209,0.0146323448017221,"1","ENSG00000044574"
2.55689746727462e-06,0.479104431212483,0.258,0.205,0.0286704913005504,"1","ENSG00000160255"
3.15960647861391e-06,0.479444551974831,0.25,0.199,0.0354286674446978,"1","ENSG00000161016"
5.04189017893716e-06,0.332661029192146,0.25,0.195,0.0565347145764223,"1","ENSG00000225200"
1.25835737906693e-05,0.336710234619115,0.304,0.249,0.141099612914775,"1","ENSG00000145425"
2.04215116043678e-05,0.35504892511247,0.282,0.233,0.228986409619776,"1","ENSG00000142583"
2.67390759049695e-05,0.393371336355444,0.273,0.224,0.299825258122423,"1","ENSG00000214389"
3.54036918875373e-05,0.336097939676135,0.25,0.203,0.396981597134956,"1","ENSG00000187446"
3.56075890797543e-05,0.318734735072402,0.343,0.297,0.399267896351285,"1","ENSG00000166598"
4.00816303723271e-05,0.362523060869577,0.271,0.226,0.449435321364904,"1","ENSG00000177600"
5.86618284712217e-05,0.524273845630616,0.25,0.209,0.657775082647808,"1","ENSG00000130208"
0.000105434020090614,0.428655620889467,0.27,0.227,1,"1","ENSG00000234797"
0.000114280843790475,0.300172640918309,0.35,0.31,1,"1","ENSG00000163466"
0.000142374029806504,0.384634546970736,0.268,0.227,1,"1","ENSG00000136238"
0.000261483787027321,0.356842866518426,0.262,0.223,1,"1","ENSG00000008988"
4.67477694120025e-166,1.03727391758507,0.999,0.999,5.24182738416784e-162,"2","ENSG00000251562"
1.83531353366374e-90,1.15554993846189,0.982,0.967,2.05793706529715e-86,"2","ENSG00000210082"
5.04331706238508e-62,1.83854563582157,0.803,0.685,5.65507142205239e-58,"2","ENSG00000280800"
2.6668814072917e-61,1.83795620351342,0.801,0.69,2.99037412199619e-57,"2","ENSG00000281383"
4.84160128774412e-61,1.83392825649996,0.802,0.685,5.42888752394748e-57,"2","ENSG00000280614"
5.4506338068933e-60,1.84421797571034,0.801,0.691,6.11179568766946e-56,"2","ENSG00000281181"
9.58178660192758e-51,1.72586108694265,0.698,0.537,1.07440573167414e-46,"2","ENSG00000163359"
7.91133876320102e-46,1.74318982040782,0.647,0.453,8.8709841551773e-42,"2","ENSG00000166923"
3.41940308438286e-40,1.86820040397791,0.551,0.367,3.8341766785185e-36,"2","ENSG00000089335"
1.93968666194642e-38,1.08947326201019,0.855,0.754,2.17497065404052e-34,"2","ENSG00000245532"
6.96770927228843e-30,1.19863772167985,0.553,0.366,7.81289240701702e-26,"2","ENSG00000147010"
2.13419058353251e-28,1.07666522227508,0.83,0.82,2.393067901315e-24,"2","ENSG00000269028"
3.63820703307884e-28,1.2693695103236,0.734,0.614,4.07952154619131e-24,"2","ENSG00000119772"
2.65768587219936e-12,0.940555643009588,0.748,0.729,2.98006316849715e-08,"2","ENSG00000204388"
5.77176346245827e-10,0.910241337910078,0.674,0.636,6.47187837045446e-06,"2","ENSG00000255823"
1.46378335818529e-09,0.487317734711663,0.42,0.317,1.64134027953317e-05,"2","ENSG00000067066"
4.32276680326903e-08,0.868149193219842,0.658,0.576,0.000484711841650556,"2","ENSG00000080824"
3.51681702750968e-06,0.283667489763049,0.365,0.475,0.0394340693294661,"2","ENSG00000237973"
2.30064125721274e-05,1.01866551937564,0.258,0.2,0.257970904171264,"2","ENSG00000123104"
2.89223891683923e-05,0.29422222922565,0.243,0.325,0.324306749745183,"2","ENSG00000168610"
0.000190582649794454,0.278595332687187,0.196,0.26,1,"2","ENSG00000141867"
0.00139393820490179,0.307115327618952,0.517,0.602,1,"2","ENSG00000161791"
0.00208329734764686,0.738540980919207,0.32,0.273,1,"2","ENSG00000132424"
0.00374771458719318,0.497439160994814,0.255,0.206,1,"2","ENSG00000149311"
