"filename","full_path","GSM_ID","donor_ID","condition","sample_ID","seq_ID"
"GSM4403289_BE_RNAseq_Pool_I_003_S6_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403289_BE_RNAseq_Pool_I_003_S6_sorted.bam.featureCounts.genes.txt","GSM4403289","BE","RNAseq","Pool","I"
"GSM4403290_BE_RNAseq_Pool_I_004_S7_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403290_BE_RNAseq_Pool_I_004_S7_sorted.bam.featureCounts.genes.txt","GSM4403290","BE","RNAseq","Pool","I"
"GSM4403291_BE_RNAseq_Pool_I_005_S8_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403291_BE_RNAseq_Pool_I_005_S8_sorted.bam.featureCounts.genes.txt","GSM4403291","BE","RNAseq","Pool","I"
"GSM4403292_BE_RNAseq_Pool_I_006_S9_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403292_BE_RNAseq_Pool_I_006_S9_sorted.bam.featureCounts.genes.txt","GSM4403292","BE","RNAseq","Pool","I"
"GSM4403294_BE_RNAseq_Pool_I_008_S11_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403294_BE_RNAseq_Pool_I_008_S11_sorted.bam.featureCounts.genes.txt","GSM4403294","BE","RNAseq","Pool","I"
"GSM4403295_BE_RNAseq_Pool_I_009_S12_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403295_BE_RNAseq_Pool_I_009_S12_sorted.bam.featureCounts.genes.txt","GSM4403295","BE","RNAseq","Pool","I"
"GSM4403296_BE_RNAseq_Pool_I_010_S3_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403296_BE_RNAseq_Pool_I_010_S3_sorted.bam.featureCounts.genes.txt","GSM4403296","BE","RNAseq","Pool","I"
"GSM4403297_BE_RNAseq_Pool_I_011_S2_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403297_BE_RNAseq_Pool_I_011_S2_sorted.bam.featureCounts.genes.txt","GSM4403297","BE","RNAseq","Pool","I"
"GSM4403298_BE_RNAseq_Pool_I_012_S1_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403298_BE_RNAseq_Pool_I_012_S1_sorted.bam.featureCounts.genes.txt","GSM4403298","BE","RNAseq","Pool","I"
"GSM4403299_BE_RNAseq_Pool_I_013_S13_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403299_BE_RNAseq_Pool_I_013_S13_sorted.bam.featureCounts.genes.txt","GSM4403299","BE","RNAseq","Pool","I"
"GSM4403300_BE_RNAseq_Pool_II_001_S1_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403300_BE_RNAseq_Pool_II_001_S1_sorted.bam.featureCounts.genes.txt","GSM4403300","BE","RNAseq","Pool","II"
"GSM4403301_BE_RNAseq_Pool_II_002_S2_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403301_BE_RNAseq_Pool_II_002_S2_sorted.bam.featureCounts.genes.txt","GSM4403301","BE","RNAseq","Pool","II"
"GSM4403302_BE_RNAseq_Pool_II_004_S4_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403302_BE_RNAseq_Pool_II_004_S4_sorted.bam.featureCounts.genes.txt","GSM4403302","BE","RNAseq","Pool","II"
"GSM4403304_BE_RNAseq_Pool_II_006_S6_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403304_BE_RNAseq_Pool_II_006_S6_sorted.bam.featureCounts.genes.txt","GSM4403304","BE","RNAseq","Pool","II"
"GSM4403307_BE_RNAseq_Pool_II_009_S9_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403307_BE_RNAseq_Pool_II_009_S9_sorted.bam.featureCounts.genes.txt","GSM4403307","BE","RNAseq","Pool","II"
"GSM4403308_BE_RNAseq_Pool_II_010_S10_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403308_BE_RNAseq_Pool_II_010_S10_sorted.bam.featureCounts.genes.txt","GSM4403308","BE","RNAseq","Pool","II"
"GSM4403309_BE_RNAseq_Pool_II_011_S11_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403309_BE_RNAseq_Pool_II_011_S11_sorted.bam.featureCounts.genes.txt","GSM4403309","BE","RNAseq","Pool","II"
"GSM4403310_BE_RNAseq_Pool_II_012_S12_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403310_BE_RNAseq_Pool_II_012_S12_sorted.bam.featureCounts.genes.txt","GSM4403310","BE","RNAseq","Pool","II"
"GSM4403311_BE_RNAseq_Pool_II_013_S13_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403311_BE_RNAseq_Pool_II_013_S13_sorted.bam.featureCounts.genes.txt","GSM4403311","BE","RNAseq","Pool","II"
"GSM4636679_NextFlex_NB_0319_012_S12_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4636679_NextFlex_NB_0319_012_S12_sorted.bam.featureCounts.genes.txt","GSM4636679","NextFlex","NB","0319","012"
"GSM4636680_NextFlex_NB_0319_002_S2_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4636680_NextFlex_NB_0319_002_S2_sorted.bam.featureCounts.genes.txt","GSM4636680","NextFlex","NB","0319","002"
"GSM4636681_NextFlex_NB_0319_003_S3_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4636681_NextFlex_NB_0319_003_S3_sorted.bam.featureCounts.genes.txt","GSM4636681","NextFlex","NB","0319","003"
"GSM4636682_NextFlex_NB_0319_006_S6_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4636682_NextFlex_NB_0319_006_S6_sorted.bam.featureCounts.genes.txt","GSM4636682","NextFlex","NB","0319","006"
